ID	DisplayName	Description	Might	Hit	Crit	Weight	Range	ReqRank	EffectiveAgainstType	Type
Wolf Beil	Wolf Beil	Axe wielded by Emblem Hector. Effective: Cavalry, Armor.	10	75	5	10	1	D	Cavalry, Armor	Axe
Runesword	Runesword	Magic sword of Emblem Hector. Can strike close or at range. Restore HP equal to 50% of damage dealt.	12	65	0	11	1~2	D		Sword
Armads	Armads	Lightning-charged axe wielded by Emblem Hector. Grants Def+5. Effective: Dragon.	22	85	0	18	1	D	Dragon	Axe
Bolting	Bolting	Long-range thunder magic wielded by Emblem Soren. Cannot follow up.	2	50	0	15	3~10	D		Tome
Reflect	Reflect	Staff of Emblem Soren. Allies within 2 spaces gain “deals 50% of magic damage taken back to foe” for 1 turn.	0				1~2	D		Staff
Rexcalibur	Rexcalibur	Powerful wind magic wielded by Emblem Soren. Effective: Flying.	16	105	10	12	1~2	D	Flying	Tome
Bolt Axe	Bolt Axe	Magic axe wielded by Emblem Camilla. Can strike close or at range.	14	65	0	9	1~2	D		Axe
Lightning	Lightning	Magic wielded by Emblem Camilla. If user initiates combat, attacks twice.	3	75	0	10	1~2	D		Tome
Camillas Axe	Camilla’s Axe	Axe wielded by Emblem Camilla. Grants Res+10 and deals extra damage = foe’s Res-Def.	19	80	0	11	1	D		Axe
Levin Sword Robin	Levin Sword	Magic sword wielded by Emblem Robin. Can hit foes with magic lightning from a distance.	10	80	0	8	1~2	D		Sword
Thoron Robin	Thoron	Powerful lightning magic wielded by Emblem Robin.	14	65	10	7	1~2	D		Tome
Falchion Chrom	Falchion	A legendary sword wielded by Emblem Chrom. Effective: Dragon.	13	80	10	12	1	D	Dragon	Sword
Hlioskjalf	Hliðskjálf	A staff wielded by Emblem Veronica. If user initiates combat, foe cannot counterattack.	13	70	0	7	1~2	D		Tome
Fortifyp	Fortify+	A staff wielded by Emblem Veronica. Heals HP and status effects for all allies within a 7-space radius.	10				1~7	D		Staff
Elivagar	Élivágar	Powerful magic wielded by Emblem Veronica. Nullifies basic stat bonuses on target for 1 turn after combat.	18	85	0	10	1~2	D		Tome
