ID	DisplayName	Description	ConflictSkillIds
Perceptive	Perceptive	If the unit initiates combat, grants Avo+15 during combat. Avo increases with high Spd.	Perceptivep
Avoid p10	Avoid +10	Grants Avo+10.	Avoid p15, Avoid p20, Avoid p25, Avoid p30
Divine Speed	Divine Speed	Unit performs an extra attack at 50% damage in combat.	
Lodestar Rush	Lodestar Rush	Use to launch 7 consecutive sword attacks at 30% damage. Adjacent foe only.	
Sword Agility 1	Sword Agility 1	Grants Avo+10 at a cost of Crit-10 when using a sword.	Sword Agility 2, Sword Agility 3, Sword Agility 4, Sword Agility 5
Break Defenses	Break Defenses	If unit’s attack breaks foe, unit makes an extra attack at 50% damage.	
Avoid p15	Avoid +15	Grants Avo+15.	Avoid p10, Avoid p20, Avoid p25, Avoid p30
Sword Agility 2	Sword Agility 2	Grants Avo+15 at a cost of Crit-10 when using a sword.	Sword Agility 2, Sword Agility 3, Sword Agility 4, Sword Agility 5
Unyielding	Unyielding	At start of player phase, if HP is 20% or less, restores 20% of unit’s max HP.	Unyieldingp, Unyieldingpp
Sword Agility 3	Sword Agility 3	Grants Avo+20 at a cost of Crit-10 when using a sword.	Sword Agility 1, Sword Agility 2, Sword Agility 4, Sword Agility 5
Avoid +20	Avoid +20	Grants Avo+20.	Avoid p10, Avoid p15, Avoid p25, Avoid p30
Unyieldingp	Unyielding+	At start of player phase, if HP is 30% or less, restores 30% of unit’s max HP.	Unyielding, Unyieldingpp
Sword Agility 4	Sword Agility 4	Grants Avo+25 at a cost of Crit-10 when using a sword.	Sword Agility 1, Sword Agility 2, Sword Agility 3, Sword Agility 5
Avoid p25	Avoid +25	Grants Avo+25.	Avoid p10, Avoid p15, Avoid p20, Avoid p30
Perceptivep	Perceptive+	If the unit initiates combat, grants Avo+30 during combat. Avo increases with high Spd.	Perceptive
Sword Agility 5	Sword Agility 5	Grants Avo+30 at a cost of Crit-10 when using a sword.	Sword Agility 1, Sword Agility 2, Sword Agility 3, Sword Agility 4
Unyieldingpp	Unyielding++	At start of player phase, if HP is 40% or less, restores 40% of unit’s max HP.	Unyielding, Unyieldingp
Avoid p30	Avoid +30	Grants Avo+30.	Avoid p10, Avoid p15, Avoid p20, Avoid p25
Canter	Canter	Unit can move 2 spaces after acting.	Canterp
Hit p10	Hit +10	Grants Hit+10.	Hit p15, Hit p20, Hit p25, Hit p30
Gallop	Gallop	Grants Mov+5.	
Override	Override	Use to attack and move through a line of adjacent foes. Sword/lance only.	
Lance Power 1	Lance Power 1	Grants Atk+2 at a cost of Avo-10 when using a lance.	Lance Power 2, Lance Power 3, Lance Power 4, Lance Power 5
Momentum	Momentum	Grants Atk+1 to first attack during combat for each space unit moved before attacking. (Max +10)	Momentump
Hit p15	Hit +15	Grants Hit+15.	Hit p10, Hit p20, Hit p25, Hit p30
Lance Power 2	Lance Power 2	Grants Atk+4 at a cost of Avo-10 when using a lance.	Lance Power 1, Lance Power 3, Lance Power 4, Lance Power 5
Headlong Rush	Headlong Rush	Grants immunity to freeze.	
Lance Power 3	Lance Power 3	Grants Atk+6 at a cost of Avo-10 when using a lance.	Lance Power 1, Lance Power 2, Lance Power 4, Lance Power 5
Hit p20	Hit +20	Grants Hit+20.	Hit p10, Hit p15, Hit p25, Hit p30
Canterp	Canter+	Unit can move 3 spaces after acting.	Canter
Lance Power 4	Lance Power 4	Grants Atk+8 at a cost of Avo-10 when using a lance.	Lance Power 1, Lance Power 2, Lance Power 3, Lance Power 5
Hit p25	Hit +25	Grants Hit+25.	Hit p10, Hit p15, Hit p20, Hit p30
Momentump	Momentum+	Grants Atk+1 to first attack during combat for each space unit moved before attacking.	Momentum
Lance Power 5	Lance Power 5	Grants Atk+10 at a cost of Avo-10 when using a lance.	Lance Power 1, Lance Power 2, Lance Power 3, Lance Power 4
Hit p30	Hit +30	Grants Hit+30.	Hit p10, Hit p15, Hit p20, Hit p25
Magic p2	Magic +2	Grants Mag+2.	Magic p3, Magic p4, Magic p5
Holy Stance	Holy Stance	If a Corrupted attacks unit, deals 10% of damage taken back to foe.	Holy Stancep, Holy Stancepp
Echo	Echo	Use to attack with magic at 50% damage. Use a second time to launch another 50% attack.	
Warp Ragnarok	Warp Ragnarok	Use to warp up to 10 spaces and make a powerful magic attack,	
Magic p3	Magic +3	Grants Mag+3.	Magic p2, Magic p4, Magic p5
Resonance	Resonance	When equipped with a tome, if unit’s HP is 2 or more, unit loses 1 HP at start of combat and deals +2 damage during combat.	
Tome Precision 1	Tome Precision 1	Grants Hit/Avo+3 when using a tome.	Tome Precision 2, Tome Precision 3, Tome Precision 4, Tome Precision 5
Tome Precision 2	Tome Precision 2	Grants Hit/Avo+5 when using a tome.	Tome Precision 1, Tome Precision 3, Tome Precision 4, Tome Precision 5
Favorite Food	Favorite Food	When unit eats a packed lunch, its engage meter is maxed out.	
Tome Precision 3	Tome Precision 3	Grants Hit/Avo+7 when using a tome.	Tome Precision 1, Tome Precision 2, Tome Precision 4, Tome Precision 5
Holy Stancep	Holy Stance+	If a Corrupted attacks unit, deals 30% of damage taken back to foe.	Holy Stance, Holy Stancepp
Magic p4	Magic +4	Grants Mag+4.	Magic p2, Magic p3, Magic p5
Tome Precision 4	Tome Precision 4	Grants Hit/Avo+10 when using a tome.	Tome Precision 1, Tome Precision 2, Tome Precision 3, Tome Precision 5
Tome Precision 5	Tome Precision 5	Grants Hit/Avo+15 when using a tome.	Tome Precision 1, Tome Precision 2, Tome Precision 3, Tome Precision 4
Holy Stancepp	Holy Stance++	If a Corrupted attacks unit, deals 50% of damage taken back to foe.	Holy Stance, Holy Stancep
Magic p5	Magic +5	Grants Mag+5.	Magic p2, Magic p3, Magic p4
Resistance p2	Resistance +2	Grants Res+2.	Resistance p3, Resistance p4, Resistance p5
Cleric	Cleric	Unit can equip staves up to level C.	Clericp, Clericpp
Augment	Augment	Grants staff range +5 and area of effect +1.	
Great Sacrifice	Great Sacrifice	Use to restore full HP to all allies, even those not under the player’s control. After use, unit’s HP=1.	
Staff Mastery 1	Staff Mastery 1	Grants Hit+10 when using a staff. Staves also heal an additional 3 HP.	Staff Mastery 2, Staff Mastery 3, Staff Mastery 4, Staff Mastery 5
Healing Light	Healing Light	When unit heals an ally with a staff, unit also recovers HP=50% of the amount healed.	
Resistance p3	Resistance +3	Grants Res+3.	Resistance p2, Resistance p4, Resistance p5
Silence Ward	Silence Ward	Grants immunity to silence.	
Staff Mastery 2	Staff Mastery 2	Grants Hit+15 when using a staff. Staves also heal an additional 5 HP.	Staff Mastery 1, Staff Mastery 3, Staff Mastery 4, Staff Mastery 5
Staff Mastery 3	Staff Mastery 3	Grants Hit+20 when using a staff. Staves also heal an additional 7 HP.	Staff Mastery 1, Staff Mastery 2, Staff Mastery 4, Staff Mastery 5
Clericp	Cleric+	Unit can equip staves up to level B.	Cleric, Clericpp
Resistance p4	Resistance +4	Grants Res+4.	Resistance p2, Resistance p3, Resistance p5
Staff Mastery 4	Staff Mastery 4	Grants Hit+25 when using a staff. Staves also heal an additional 10 HP.	Staff Mastery 1, Staff Mastery 2, Staff Mastery 3, Staff Mastery 5
Staff Mastery 5	Staff Mastery 5	Grants Hit+30 when using a staff. Staves also heal an additional 15 HP.	Staff Mastery 1, Staff Mastery 2, Staff Mastery 3, Staff Mastery 4
Clericpp	Cleric++	Unit can equip staves up to level A.	Cleric, Clericp
Resistance p5	Resistance +5	Grants Res+5.	Resistance p2, Resistance p3, Resistance p4
Strength p1	Strength +1	Grants Str+1.	Strength p2, Strength p3, Strength p4, Strength p5, Strength p6
Hold Out	Hold Out	If unit had 30% HP or more at start of combat, unit always survives combat with at least 1 HP.	Hold Outp, Hold Outpp, Hold Outppp
Rise Above	Rise Above	Grants Lvl+5.	
Blazing Lion	Blazing Lion	Use to attack adjacent foe and an area 3 spaces wide. Target area and the 2 rows beyond it are set on fire. Sword only.	
Strength p2	Strength +2	Grants Str+2.	Strength p1, Strength p3, Strength p4, Strength p5, Strength p6
Advance	Advance	Use to move 1 space toward a foe that is 2 spaces away and attack.	
Sword Power 1	Sword Power 1	Grants Atk+2 at a cost of Avo-10 when using a sword.	Sword Power 2, Sword Power 3, Sword Power 4, Sword Power 5
Sword Power 2	Sword Power 2	Grants Atk+4 at a cost of Avo-10 when using a sword.	Sword Power 1, Sword Power 3, Sword Power 4, Sword Power 5
Hold Outp	Hold Out+	If unit had 20% HP or more at start of combat, unit always survives combat with at least 1 HP.	Hold Out, Hold Outpp, Hold Outppp
Strength p3	Strength +3	Grants Str+3,	Strength p1, Strength p2, Strength p4, Strength p5, Strength p6
Sword Power 3	Sword Power 3	Grants Atk+6 at a cost of Avo-10 when using a sword.	Sword Power 1, Sword Power 2, Sword Power 4, Sword Power 5
Sword Power 4	Sword Power 4	Grants Atk+8 at a cost of Avo-10 when using a sword.	Sword Power 1, Sword Power 2, Sword Power 3, Sword Power 5
Hold Outpp	Hold Out++	If unit had 10% HP or more at start of combat, unit always survives combat with at least 1 HP.	Hold Out, Hold Outp, Hold Outppp
Strength p4	Strength +4	Grants Str+4.	Strength p1, Strength p2, Strength p3, Strength p5, Strength p6
Sword Power 5	Sword Power 5	Grants Atk+10 at a cost of Avo-10 when using a sword.	Sword Power 1, Sword Power 2, Sword Power 3, Sword Power 4
Strength p5	Strength +5	Grants Str+5.	Strength p1, Strength p2, Strength p3, Strength p4, Strength p6
Hold Outppp	Hold Out+++	If unit had 2 HP or more at start of combat, unit always survives combat with at least 1 HP.	Hold Out, Hold Outp, Hold Outpp
Strength p6	Strength +6	Grants Str+6.	Strength p1, Strength p2, Strength p3, Strength p4, Strength p5
Build p3	Build +3	Grants Bld+3.	Build p4, Build p5
Arms Shield	Arms Shield	When unit has weapon advantage, unit takes 3 less damage.	Arms Shieldp, Arms Shieldpp
Adaptable	Adaptable	If foe initiates combat, unit counters with the best weapon available (in terms of range, weapon advantage, effective bonus, etc.).	
Quadruple Hit	Quadruple Hit	Use to attack once each with sword, lance, axe, and bow.	
Vantage	Vantage	If unit’s HP is 25% or less and foe initiates combat, unit can counter before foe’s first attack.	Vantagep, Vantagepp
Knife Precision 1	Knife Precision 1	Grants Hit/Avo+3 when using a knife.	Knife Precision 2, Knife Precision 3, Knife Precision 4, Knife Precision 5
Build p4	Build +4	Grants Bld+4.	Build p3, Build p5
Arms Shieldp	Arms Shield+	When unit has weapon advantage, unit takes 5 less damage.	Arms Shield, Arms Shieldpp
Knife Precision 2	Knife Precision 2	Grants Hit/Avo+5 when using a knife.	Knife Precision 1,Knife Precision 3, Knife Precision 4, Knife Precision 5
Vantagep	Vantage+	If unit’s HP is 50% or less and foe initiates combat, unit can counter before foe’s first attack.	Vantage, Vantagepp
Knife Precision 3	Knife Precision 3	Grants Hit/Avo+7 when using a knife.	Knife Precision 1, Knife Precision 2, Knife Precision 4, Knife Precision 5
Build p5	Build +5	Grants Bld+5.	Build p3, Build p4
Arms Shieldpp	Arms Shield++	When unit has weapon advantage, unit takes 7 less damage.	Arms Shield, Arms Shieldp
Knife Precision 4	Knife Precision 4	Grants Hit/Avo+10 when using a knife.	Knife Precision 1, Knife Precision 2, Knife Precision 3, Knife Precision 5
Vantagepp	Vantage++	If unit’s HP is 75% or less and foe initiates combat, unit can counter before foe’s first attack.	Vantage, Vantagep
Knife Precision 5	Knife Precision 5	Grants Hit/Avo+15 when using a knife.	Knife Precision 1, Knife Precision 2, Knife Precision 3, Knife Precision 4
Dexterity p1	Dexterity +1	Grants Dex+1.	Dexterity p2, Dexterity p3, Dexterity p4, Dexterity p5
Dual Strike	Dual Strike	Unit participates in chain attacks as if it were a backup unit.	
Bonded Shield	Bonded Shield	Use to prevent first attacks on adjacent allies until your next turn. Trigger %=80.	
All For One	All For One	Use to make a sword attack against an adjacent foe. All allies within 2 spaces chain attack.	
Dexterity p2	Dexterity +2	Grants Dex+2.	Dexterity p1, Dexterity p3, Dexterity p4, Dexterity p5
Dual Assist	Dual Assist	If unit is able to chain attack, unit will do so when allies attack foes unit could reach by moving. Trigger %=35.	Dual Assistp
Bow Agility 1	Bow Agility 1	Grants Avo+10 at a cost of Crit-10 when using a bow.	Bow Agility 2, Bow Agility 3, Bow Agility 4, Bow Agility 5
Bow Agility 2	Bow Agility 2	Grants Avo+15 at a cost of Crit-10 when using a bow.	Bow Agility 1, Bow Agility 3, Bow Agility 4, Bow Agility 5
Dexterity p3	Dexterity +3	Grants Dex+3.	Dexterity p2, Dexterity p4, Dexterity p5
Bow Agility 3	Bow Agility 3	Grants Avo+20 at a cost of Crit-10 when using a bow.	Bow Agility 1, Bow Agility 2, Bow Agility 4, Bow Agility 5
Dual Support	Dual Support	Grants a bonus to Avo that increases with unit’s support level with adjacent allies. (Max +90) [+5 Avoid for each support level. None = 1, C = 2, B = 3, A = 4, S = 6.]	
Bow Agility 4	Bow Agility 4	Grants Avo+25 at a cost of Crit-10 when using a bow.	Bow Agility 1, Bow Agility 2, Bow Agility 3, Bow Agility 5
Dexterity p4	Dexterity +4	Grants Dex+4.	Dexterity p1, Dexterity p2, Dexterity p3, Dexterity p5
Bow Agility 5	Bow Agility 5	Grants Avo+30 at a cost of Crit-10 when using a bow.	Bow Agility 1, Bow Agility 2, Bow Agility 3, Bow Agility 4
Dual Assistp	Dual Assist+	If unit is able to chain attack, unit will do so when allies attack foes unit could reach by moving. Trigger %=70.	Dual Assist
Dexterity p5	Dexterity +5	Grants Dex+5.	Dexterity p1, Dexterity p2, Dexterity p3, Dexterity p4
Speed p1	Speed +1	Grants Spd+1.	Speed p2, Speed p3, Speed p4, Speed p5
Alacrity	Alacrity	If unit initiates combat with a Spd advantage of 9 or more, unit’s follow-up (if possible) occurs before foe can counterattack.	Alacrity, Alacrityp, Alacritypp
Call Doubles	Call Doubles	Creates four illusory doubles that can make chain attacks with unit.	
Astra Storm	Astra Storm	Use to launch 5 bow attacks at 30% damage, up to range 10.	
Speed p2	Speed +2	Grants Spd+2.	Speed p1, Speed p3, Speed p4, Speed p5
Speedtaker	Speedtaker	Grants a stacking Spd+2 each time unit initiates combat and defeats a foe. Bonus lasts for the rest of the battle. (Max +10)	
Bow Focus 1	Bow Focus 1	Grants Hit+10 at a cost of Ddg-10 when using a bow.	Bow Focus 2, Bow Focus 3, Bow Focus 4, Bow Focus 5
Bow Focus 2	Bow Focus 2	Grants Hit+15 at a cost of Ddg-10 when using a bow.	Bow Focus 1, Bow Focus 3, Bow Focus 4, Bow Focus 5
Speed p3	Speed +3	Grants Spd+3.	Speed p1, Speed p2, Speed p4, Speed p5
Bow Focus 3	Bow Focus 3	Grants Hit+20 at a cost of Ddg-10 when using a bow.	Bow Focus 1, Bow Focus 2, Bow Focus 4, Bow Focus 5
Alacrityp	Alacrity+	If unit initiates combat with a Spd advantage of 7 or more, unit’s follow-up (if possible) occurs before foe can counterattack.	Alacrity, Alacritypp
Bow Focus 4	Bow Focus 4	Grants Hit+25 at a cost of Ddg-10 when using a bow.	Bow Focus 1, Bow Focus 2, Bow Focus 3, Bow Focus 5
Speed p4	Speed +4	Grants Spd+4.	Speed p1, Speed p2, Speed p3, Speed p5
Bow Focus 5	Bow Focus 5	Grants Hit+30 at a cost of Ddg-10 when using a bow.	Bow Focus 1, Bow Focus 2, Bow Focus 3, Bow Focus 4
Alacritypp	Alacrity++	If unit initiates combat with a Spd advantage of 5 or more, unit’s follow-up (if possible) occurs before foe can counterattack.	Alacrity, Alacrityp
Speed p5	Speed +5	Grants Spd+5.	Speed p1, Speed p2, Speed p3, Speed p4
Defense p1	Defense +1	Grants Def+1.	Defense p2, Defense p3, Defense p4, Defense p5
Demolish	Demolish	Break destructible terrain in a single blow when using Destroy.	
Resolve	Resolve	If unit’s HP is 75% or less after combat, grants Def/Res+5 as long as unit’s HP stays below 75%.	Resolvep
Laguz Friend	Laguz Friend	Unit takes 50% less damage, but sets unit’s Avo to 0.	
Great Aether	Great Aether	Use to grant Def/Res+5, but unit can’t counter for 1 turn. Next turn, attack a 2-space area, heal HP=30% of damage dealt. Sword/axe only.	
Defense p2	Defense +2	Grants Def+2.	Defense p1, Defense p3, Defense p4, Defense p5
Reposition	Reposition	Use to move an adjacent ally to the opposite side of unit.	
Axe Power 1	Axe Power 1	Grants Atk+2 at a cost of Avo-10 when using an axe.	Axe Power 2, Axe Power 3, Axe Power 4, Axe Power 5
Axe Power 2	Axe Power 2	Grants Atk+4 at a cost of Avo-10 when using an axe.	Axe Power 1, Axe Power 3, Axe Power 4, Axe Power 5
Defense p3	Defense +3	Grants Def+3.	Defense p1, Defense p2, Defense p4, Defense p5
Axe Power 3	Axe Power 3	Grants Atk+6 at a cost of Avo-10 when using an axe.	Axe Power 1, Axe Power 2, Axe Power 4, Axe Power 5
Wrath	Wrath	At start of combat, for each HP the unit has lost, grants Crit+1 during combat. (Max +30)	
Axe Power 4	Axe Power 4	Grants Atk+8 at a cost of Avo-10 when using an axe.	Axe Power 1, Axe Power 2, Axe Power 3, Axe Power 5
Defense p4	Defense +4	Grants Def+4.	Defense p1, Defense p2, Defense p3, Defense p5
Axe Power 5	Axe Power 5	Grants Atk+10 at a cost of Avo-10 when using an axe.	Axe Power 1, Axe Power 2, Axe Power 3, Axe Power 4
Resolvep	Resolve+	If unit’s HP is 75% or less after combat, grants Def/Res+7 as long as unit’s HP stays below 75%.	Resolve
Defense p5	Defense +5	Grants Def+5.	Defense p1, Defense p2, Defense p3, Defense p4
Luck p2	Luck +2	Grants Lck+2.	Luck p2, Luck p4, Luck p6, Luck p8, Luck p10, Luck p12
Divine Pulse	Divine Pulse	May turn a missed attack into a hit. Trigger %=30. Chance increases with high Lck. [+1% for every 1 Luck.]	Divine Pulsep
Instruct	Instruct	Use to grant allies within 2 spaces a stat bonus based on user’s type. Bonus lasts for 1 turn.	
Goddess Dance	Goddess Dance	Use to grant another action to all adjacent allies.	
Luck p4	Luck +4	Grants Lck+4.	Luck p4, Luck p6, Luck p8, Luck p10, Luck p12
Mentorship	Mentorship	Grants 1.2× EXP modifier to unit and adjacent allies.	
Art Focus 1	Art Focus 1	Grants Hit+10 at a cost of Ddg-10 when using an art.	Art Focus 2, Art Focus 3, Art Focus 4, Art Focus 5
Art Focus 2	Art Focus 2	Grants Hit+15 at a cost of Ddg-10 when using an art.	Art Focus 1, Art Focus 3, Art Focus 4, Art Focus 5
Art Focus 3	Art Focus 3	Grants Hit+20 at a cost of Ddg-10 when using an art.	Art Focus 1, Art Focus 2, Art Focus 4, Art Focus 5
Luck p6	Luck +6	Grants Lck+6.	Luck p2, Luck p4, Luck p8, Luck p10, Luck p12
Art Focus 4	Art Focus 4	Grants Hit+25 at a cost of Ddg-10 when using an art.	Art Focus 1, Art Focus 2, Art Focus 3, Art Focus 5
Lost n Found	Lost & Found	If unit finishes an action or waits next to an ally, may find an item and increase support with that ally. Trigger %=Lck.	
Art Focus 5	Art Focus 5	Grants Hit+30 at a cost of Ddg-10 when using an art.	Art Focus 1, Art Focus 2, Art Focus 3, Art Focus 4
Luck p8	Luck +8	Grants Lck+8.	Luck p2, Luck p4, Luck p6, Luck p10, Luck p12
Luck p10	Luck +10	Grants Lck+10.	Luck p2, Luck p4, Luck p6, Luck p8, Luck p12
Divine Pulsep	Divine Pulse+	May turn a missed attack into a hit. Trigger %=50. Chance increases with high Lck. [+1% for every 1 Luck.]	Divine Pulse
Luck p12	Luck +12	Grants Lck+12.	Luck p2, Luck p4, Luck p6, Luck p8, Luck p10
HP p5	HP +5	Grants max HP+5.	HP p7, HP p10, HP p12, HP p15
Dragon Vein	Dragon Vein	Use to add a special effect to certain spaces.	
Dreadful Aura	Dreadful Aura	If unit initiates combat, target foe and all foes within 1 space of it cannot move for 1 turn after combat.	
Torrential Roar	Torrential Roar	Use to attack 3 spaces in a line, turning those spaces into water terrain.	
HP p7	HP +7	Grants max HP+7.	HP p5, HP p10, HP p12, HP p15
Quality Time	Quality Time	After unit acts or waits, restores 5 HP to adjacent allies and slightly increases support with them.	Quality Timep
Sword Focus 1	Sword Focus 1	Grants Hit+10 at a cost of Ddg-10 when using a sword.	Sword Focus 2, Sword Focus 3, Sword Focus 4, Sword Focus 5
Sword Focus 2	Sword Focus 2	Grants Hit+15 at a cost of Ddg-10 when using a sword.	Sword Focus 1, Sword Focus 3, Sword Focus 4, Sword Focus 5
Draconic Hex	Draconic Hex	If unit initiates combat, inflicts -4 to all of foe’s basic stats after combat. (Penalties shrink by 1 each turn.)	
HP p10	HP +10	Grants max HP+10.	HP p5, HP p7, HP p12, HP p15
Sword Focus 3	Sword Focus 3	Grants Hit+20 at a cost of Ddg-10 when using a sword.	Sword Focus 1, Sword Focus 2, Sword Focus 4, Sword Focus 5
Pair Up	Pair Up	Prevents damage from foes’ chain attacks against unit.	
Sword Focus 4	Sword Focus 4	Grants Hit+25 at a cost of Ddg-10 when using a sword.	Sword Focus 1, Sword Focus 2, Sword Focus 3, Sword Focus 5
